model,dataset,n,p,lam,objective,errors,leaves,seconds,wall,status,size,iterations,binary_features,lb,ub,known_objective,known_certified,verdict
pygosdt_v1_flat,sine_1k,,,0.02,0.494,454.0,2.0,30.0,,time,,,,,,0.494,False,ok
pygosdt_v1_flat,sine_1k,,,0.01,0.474,454.0,2.0,30.0,,time,,,,,,0.474,False,ok
pygosdt_v1_flat,sine_1k,,,0.005,0.4,340.0,12.0,30.0,,time,,,,,,0.4,False,ok
pygosdt_v1_flat,car_evaluation,,,0.1,0.3997685185185186,518.0,1.0,0.0003828330081887,,optimal,,,,,,0.399769,True,ok
pygosdt_v1_flat,car_evaluation,,,0.05,0.2946759259259259,250.0,3.0,0.0024673750158399,,optimal,,,,,,0.294676,True,ok
pygosdt_v1_flat,car_evaluation,,,0.02,0.2046759259259259,250.0,3.0,0.0432743749697692,,optimal,,,,,,0.204676,True,ok
pygosdt_v1_flat,car_evaluation,,,0.01,0.1452314814814815,130.0,7.0,0.1943437080481089,,optimal,,,,,,0.145231,True,ok
pygosdt_v1_flat,car_evaluation,,,0.005,0.1063425925925926,106.0,9.0,0.6509284169878811,,optimal,,,,,,0.106343,True,ok
pygosdt_v1_flat,coupon_bar,,,0.1,0.5119184526921067,788.0,1.0,6.958399899303913e-05,,optimal,,,,,,0.511918,True,ok
pygosdt_v1_flat,coupon_bar,,,0.05,0.4538944066910612,677.0,2.0,0.0005082919960841,,optimal,,,,,,0.453894,True,ok
pygosdt_v1_flat,coupon_bar,,,0.02,0.3715525352848928,596.0,3.0,0.0031207499559968,,optimal,,,,,,0.371553,True,ok
pygosdt_v1_flat,coupon_bar,,,0.01,0.3410977522216414,576.0,4.0,0.0201989579945802,,optimal,,,,,,0.341098,True,ok
pygosdt_v1_flat,coupon_bar,,,0.005,0.3186199686356508,533.0,8.0,0.2049170419923029,,optimal,,,,,,0.31862,True,ok
pygosdt_v1_flat,compas_binned,,,0.1,0.5610829593166353,2494.0,2.0,9.08750225789845e-05,,optimal,,,,,,0.561083,True,ok
pygosdt_v1_flat,compas_binned,,,0.05,0.4610829593166353,2494.0,2.0,7.48750171624124e-05,,optimal,,,,,,0.461083,True,ok
pygosdt_v1_flat,compas_binned,,,0.02,0.4010829593166353,2494.0,2.0,0.0004491670406423,,optimal,,,,,,0.401083,True,ok
pygosdt_v1_flat,compas_binned,,,0.01,0.3748675256985666,2382.0,3.0,0.002077083045151,,optimal,,,,,,0.374868,True,ok
pygosdt_v1_flat,compas_binned,,,0.005,0.355968582597365,2286.0,5.0,0.007395832973998,,optimal,,,,,,0.355969,True,ok
pygosdt_v1_flat,fico_binary,,,0.1,0.5040443637058992,3180.0,2.0,0.0001019169576466,,optimal,,,,,,0.504044,True,ok
pygosdt_v1_flat,fico_binary,,,0.05,0.4040443637058992,3180.0,2.0,0.000531333964318,,optimal,,,,,,0.404044,True,ok
